"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"CEO","CNOOC Limited","111.02","$49.57B","2001","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/ceo",
"CNXM","CNX Midstream Partners LP","6.38","$572.92M","2014","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/cnxm",
"CNX","CNX Resources Corporation","8.69","$1.63B","1999","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/cnx",
"KOF","Coca Cola Femsa S.A.B. de C.V.","41.14","$69.14B","1993","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/kof",
"KO","Coca-Cola Company (The)","46.82","$201.09B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/ko",
"CCEP","Coca-Cola European Partners plc","39.27","$17.84B","2016","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/ccep",
"CDE","Coeur Mining, Inc.","6.31","$1.54B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/cde",
"FOF","Cohen & Steers Closed-End Opportunity Fund, Inc.","10.7","$291.34M","2006","n/a","n/a","https://old.nasdaq.com/symbol/fof",
"CNS","Cohen & Steers Inc","67.69","$3.23B","2004","Finance","Investment Managers","https://old.nasdaq.com/symbol/cns",
"UTF","Cohen & Steers Infrastructure Fund, Inc","23.24","$2.17B","2004","n/a","n/a","https://old.nasdaq.com/symbol/utf",
"LDP","Cohen & Steers Limited Duration Preferred and Income Fund, Inc","22.67","$654.43M","2012","n/a","n/a","https://old.nasdaq.com/symbol/ldp",
"MIE","Cohen & Steers MLP Income and Energy Opportunity Fund, Inc.","2","$53.74M","2013","n/a","n/a","https://old.nasdaq.com/symbol/mie",
"RQI","Cohen & Steers Quality Income Realty Fund Inc.","10.62","$1.43B","2002","n/a","n/a","https://old.nasdaq.com/symbol/rqi",
"RNP","Cohen & Steers REIT and Preferred and Income Fund,","19.06","$906.92M","2003","n/a","n/a","https://old.nasdaq.com/symbol/rnp",
"PSF","Cohen & Steers Select Preferred and Income Fund, Inc.","24.53","$294.6M","2010","n/a","n/a","https://old.nasdaq.com/symbol/psf",
"RFI","Cohen & Steers Total Return Realty Fund, Inc.","12.11","$317.35M","1993","n/a","n/a","https://old.nasdaq.com/symbol/rfi",
"CFX","Colfax Corporation","31.57","$3.74B","2008","Capital Goods","Fluid Controls","https://old.nasdaq.com/symbol/cfx",
"CFXA","Colfax Corporation","135.12","n/a","2019","Capital Goods","Fluid Controls","https://old.nasdaq.com/symbol/cfxa",
"CL","Colgate-Palmolive Company","75.2","$64.41B","n/a","Consumer Non-Durables","Package Goods/Cosmetics","https://old.nasdaq.com/symbol/cl",
"CCH","Collier Creek Holdings","13.85","$773.87M","2018","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/cch",
"CCH.U","Collier Creek Holdings","n/a","n/a","2018","n/a","n/a","https://old.nasdaq.com/symbol/cch.u",
"CCH.WS","Collier Creek Holdings","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cch.ws",
"CXE","Colonial High Income Municipal Trust","4.969","$156.62M","1989","n/a","n/a","https://old.nasdaq.com/symbol/cxe",
"CIF","Colonial Intermediate High Income Fund","2.185","$42.94M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cif",
"CXH","Colonial Investment Grade Municipal Trust","9.65","$87.91M","1989","n/a","n/a","https://old.nasdaq.com/symbol/cxh",
"CMU","Colonial Municipal Income Trust","4.29","$121.52M","1987","n/a","n/a","https://old.nasdaq.com/symbol/cmu",
"CLNY","Colony Capital, Inc.","1.9","$915.68M","2014","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/clny",
"CLNY^G","Colony Capital, Inc.","18.99","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/clny^g",
"CLNY^H","Colony Capital, Inc.","18.4856","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/clny^h",
"CLNY^I","Colony Capital, Inc.","18.44","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/clny^i",
"CLNY^J","Colony Capital, Inc.","18.46","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/clny^j",
"CLNC","Colony Credit Real Estate, Inc.","6.58","$845.46M","2018","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/clnc",
"CXP","Columbia Property Trust, Inc.","12.35","$1.41B","2013","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/cxp",
"STK","Columbia Seligman Premium Technology Growth Fund, Inc","22.72","$361.39M","2009","n/a","n/a","https://old.nasdaq.com/symbol/stk",
"CCZ","Comcast Corporation","57","n/a","n/a","Consumer Services","Television Services","https://old.nasdaq.com/symbol/ccz",
"CMA","Comerica Incorporated","35.54","$4.94B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/cma",
"FIX","Comfort Systems USA, Inc.","41.89","$1.53B","1997","Capital Goods","Engineering & Construction","https://old.nasdaq.com/symbol/fix",
"CMC","Commercial Metals Company","20.37","$2.43B","n/a","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/cmc",
"CBU","Community Bank System, Inc.","56.56","$2.95B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/cbu",
"CYH","Community Health Systems, Inc.","3.67","$439.17M","2000","Health Care","Hospital/Nursing Management","https://old.nasdaq.com/symbol/cyh",
"CHCT","Community Healthcare Trust Incorporated","42.97","$952.38M","2015","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/chct",
"CIG","Comp En De Mn Cemig ADS","2.12","$3.09B","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/cig",
"CIG.C","Comp En De Mn Cemig ADS","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cig.c",
"CBD","Companhia Brasileira de Distribuicao","13.1","$3.51B","2020","Consumer Services","Food Chains","https://old.nasdaq.com/symbol/cbd",
"SBS","Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp","11.68","$7.98B","2002","Public Utilities","Water Supply","https://old.nasdaq.com/symbol/sbs",
"ELP","Companhia Paranaense de Energia (COPEL)","11.76","$3.22B","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/elp",
"CCU","Compania Cervecerias Unidas, S.A.","15.05","$2.78B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/ccu",
"CODI","Compass Diversified Holdings","16.73","$1.1B","2006","Consumer Durables","Home Furnishings","https://old.nasdaq.com/symbol/codi",
"CODI^A","Compass Diversified Holdings","20.95","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/codi^a",
"CODI^B","Compass Diversified Holdings","22.2763","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/codi^b",
"CODI^C","Compass Diversified Holdings","22.35","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/codi^c",
"CMP","Compass Minerals International, Inc.","51.45","$1.74B","2003","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://old.nasdaq.com/symbol/cmp",
